video,fps,frame,tip_x,tip_y
PCD_1,25.0,0,200,130
PCD_1,25.0,1,200,130
PCD_1,25.0,2,200,130
PCD_1,25.0,3,200,130
PCD_1,25.0,4,200,130
PCD_1,25.0,5,200,130
PCD_1,25.0,6,200,130
PCD_1,25.0,7,200,130
PCD_1,25.0,8,200,130
PCD_1,25.0,9,200,130
PCD_1,25.0,10,200,130
PCD_1,25.0,11,200,130
PCD_1,25.0,12,200,130
PCD_1,25.0,13,200,130
PCD_1,25.0,14,200,130
PCD_1,25.0,15,200,130
PCD_1,25.0,16,200,130
PCD_1,25.0,17,200,130
PCD_1,25.0,18,209,120
PCD_1,25.0,19,200,130
PCD_1,25.0,20,200,130
PCD_1,25.0,21,200,130
PCD_1,25.0,22,200,130
PCD_1,25.0,23,200,130
PCD_1,25.0,24,200,130
PCD_1,25.0,25,200,130
PCD_1,25.0,26,200,130
PCD_1,25.0,27,200,130
PCD_1,25.0,28,200,130
PCD_1,25.0,29,200,130
PCD_1,25.0,30,200,130
PCD_1,25.0,31,200,130
PCD_1,25.0,32,200,130
PCD_1,25.0,33,200,130
PCD_1,25.0,34,200,130
PCD_1,25.0,35,200,130
PCD_1,25.0,36,200,130
PCD_1,25.0,37,200,130
PCD_1,25.0,38,200,130
PCD_1,25.0,39,200,130
PCD_1,25.0,40,200,130
PCD_1,25.0,41,200,130
PCD_1,25.0,42,200,130
PCD_1,25.0,43,200,130
PCD_1,25.0,44,200,130
PCD_1,25.0,45,200,130
PCD_1,25.0,46,200,130
PCD_1,25.0,47,200,130
PCD_1,25.0,48,200,130
PCD_1,25.0,49,200,130
PCD_1,25.0,50,200,130
PCD_1,25.0,51,200,130
PCD_1,25.0,52,200,130
PCD_1,25.0,53,200,130
PCD_1,25.0,54,200,130
PCD_1,25.0,55,200,130
PCD_1,25.0,56,200,130
PCD_1,25.0,57,200,130
PCD_1,25.0,58,200,130
PCD_1,25.0,59,200,130
PCD_1,25.0,60,200,130
PCD_1,25.0,61,200,130
PCD_1,25.0,62,200,130
PCD_1,25.0,63,200,130
PCD_1,25.0,64,200,130
PCD_1,25.0,65,200,130
PCD_1,25.0,66,200,130
PCD_1,25.0,67,200,130
PCD_1,25.0,68,200,130
PCD_1,25.0,69,200,130
PCD_1,25.0,70,200,130
PCD_1,25.0,71,200,130
PCD_1,25.0,72,200,130
PCD_1,25.0,73,200,130
PCD_1,25.0,74,200,130
PCD_1,25.0,75,200,130
PCD_1,25.0,76,200,130
PCD_1,25.0,77,200,130
