video,fps,frame,tip_x,tip_y
healthy_18,30.0,0,366,173
healthy_18,30.0,1,366,173
healthy_18,30.0,2,366,173
healthy_18,30.0,3,366,173
healthy_18,30.0,4,366,173
healthy_18,30.0,5,366,173
healthy_18,30.0,6,366,173
healthy_18,30.0,7,366,173
healthy_18,30.0,8,366,173
healthy_18,30.0,9,366,173
healthy_18,30.0,10,366,173
healthy_18,30.0,11,366,173
healthy_18,30.0,12,366,173
healthy_18,30.0,13,366,173
healthy_18,30.0,14,366,173
healthy_18,30.0,15,366,173
healthy_18,30.0,16,366,173
healthy_18,30.0,17,366,173
healthy_18,30.0,18,366,173
healthy_18,30.0,19,366,173
healthy_18,30.0,20,366,173
healthy_18,30.0,21,366,173
healthy_18,30.0,22,366,173
healthy_18,30.0,23,366,173
healthy_18,30.0,24,366,173
healthy_18,30.0,25,366,173
healthy_18,30.0,26,366,173
healthy_18,30.0,27,366,173
healthy_18,30.0,28,366,173
healthy_18,30.0,29,366,173
healthy_18,30.0,30,366,173
healthy_18,30.0,31,366,173
healthy_18,30.0,32,366,173
healthy_18,30.0,33,366,173
healthy_18,30.0,34,366,173
healthy_18,30.0,35,366,173
healthy_18,30.0,36,366,173
healthy_18,30.0,37,366,173
healthy_18,30.0,38,366,173
healthy_18,30.0,39,366,173
healthy_18,30.0,40,366,173
healthy_18,30.0,41,366,173
healthy_18,30.0,42,366,173
healthy_18,30.0,43,366,173
healthy_18,30.0,44,366,173
healthy_18,30.0,45,366,173
healthy_18,30.0,46,366,173
healthy_18,30.0,47,366,173
healthy_18,30.0,48,366,173
healthy_18,30.0,49,366,173
healthy_18,30.0,50,366,173
healthy_18,30.0,51,366,173
healthy_18,30.0,52,366,173
healthy_18,30.0,53,366,173
healthy_18,30.0,54,366,173
healthy_18,30.0,55,366,173
healthy_18,30.0,56,366,173
healthy_18,30.0,57,366,173
healthy_18,30.0,58,366,173
healthy_18,30.0,59,366,173
healthy_18,30.0,60,366,173
healthy_18,30.0,61,366,173
healthy_18,30.0,62,366,173
healthy_18,30.0,63,366,173
healthy_18,30.0,64,366,173
healthy_18,30.0,65,366,173
healthy_18,30.0,66,366,173
healthy_18,30.0,67,366,173
healthy_18,30.0,68,366,173
healthy_18,30.0,69,366,173
healthy_18,30.0,70,366,173
healthy_18,30.0,71,366,173
healthy_18,30.0,72,366,173
healthy_18,30.0,73,366,173
healthy_18,30.0,74,366,173
healthy_18,30.0,75,366,173
healthy_18,30.0,76,366,173
healthy_18,30.0,77,366,173
healthy_18,30.0,78,366,173
healthy_18,30.0,79,366,173
healthy_18,30.0,80,366,173
healthy_18,30.0,81,366,173
healthy_18,30.0,82,366,173
healthy_18,30.0,83,366,173
healthy_18,30.0,84,366,173
healthy_18,30.0,85,366,173
healthy_18,30.0,86,366,173
healthy_18,30.0,87,366,173
healthy_18,30.0,88,366,173
healthy_18,30.0,89,366,173
healthy_18,30.0,90,366,173
healthy_18,30.0,91,366,173
healthy_18,30.0,92,366,173
healthy_18,30.0,93,366,173
healthy_18,30.0,94,366,173
healthy_18,30.0,95,366,173
healthy_18,30.0,96,366,173
healthy_18,30.0,97,366,173
healthy_18,30.0,98,366,173
healthy_18,30.0,99,366,173
healthy_18,30.0,100,366,173
healthy_18,30.0,101,366,173
healthy_18,30.0,102,366,173
healthy_18,30.0,103,366,173
healthy_18,30.0,104,366,173
healthy_18,30.0,105,366,173
healthy_18,30.0,106,366,173
healthy_18,30.0,107,366,173
healthy_18,30.0,108,366,173
healthy_18,30.0,109,366,173
healthy_18,30.0,110,366,173
healthy_18,30.0,111,366,173
healthy_18,30.0,112,366,173
healthy_18,30.0,113,366,173
healthy_18,30.0,114,366,173
healthy_18,30.0,115,366,173
healthy_18,30.0,116,366,173
healthy_18,30.0,117,366,173
healthy_18,30.0,118,366,173
healthy_18,30.0,119,366,173
healthy_18,30.0,120,366,173
healthy_18,30.0,121,366,173
healthy_18,30.0,122,366,173
healthy_18,30.0,123,366,173
healthy_18,30.0,124,366,173
healthy_18,30.0,125,366,173
healthy_18,30.0,126,366,173
healthy_18,30.0,127,366,173
healthy_18,30.0,128,366,173
healthy_18,30.0,129,366,173
healthy_18,30.0,130,366,173
healthy_18,30.0,131,366,173
healthy_18,30.0,132,366,173
healthy_18,30.0,133,366,173
healthy_18,30.0,134,366,173
healthy_18,30.0,135,366,173
healthy_18,30.0,136,366,173
healthy_18,30.0,137,366,173
healthy_18,30.0,138,366,173
healthy_18,30.0,139,366,173
healthy_18,30.0,140,366,173
healthy_18,30.0,141,366,173
healthy_18,30.0,142,366,173
healthy_18,30.0,143,366,173
healthy_18,30.0,144,366,173
healthy_18,30.0,145,366,173
healthy_18,30.0,146,366,173
healthy_18,30.0,147,366,173
healthy_18,30.0,148,366,173
healthy_18,30.0,149,366,173
healthy_18,30.0,150,366,173
