video,fps,frame,tip_x,tip_y
PCD_5,25.0,0,204,121
PCD_5,25.0,1,203,121
PCD_5,25.0,2,203,121
PCD_5,25.0,3,200,120
PCD_5,25.0,4,200,121
PCD_5,25.0,5,200,121
PCD_5,25.0,6,200,120
PCD_5,25.0,7,200,120
PCD_5,25.0,8,203,122
PCD_5,25.0,9,203,120
PCD_5,25.0,10,203,120
PCD_5,25.0,11,204,121
PCD_5,25.0,12,204,121
PCD_5,25.0,13,203,121
PCD_5,25.0,14,203,121
PCD_5,25.0,15,203,121
PCD_5,25.0,16,204,122
PCD_5,25.0,17,204,122
PCD_5,25.0,18,205,121
PCD_5,25.0,19,203,120
PCD_5,25.0,20,203,120
PCD_5,25.0,21,205,121
PCD_5,25.0,22,205,121
PCD_5,25.0,23,200,120
PCD_5,25.0,24,205,121
PCD_5,25.0,25,205,121
PCD_5,25.0,26,204,121
PCD_5,25.0,27,204,121
PCD_5,25.0,28,205,121
PCD_5,25.0,29,200,120
PCD_5,25.0,30,200,120
PCD_5,25.0,31,203,120
PCD_5,25.0,32,203,120
PCD_5,25.0,33,204,120
PCD_5,25.0,34,205,122
PCD_5,25.0,35,205,122
PCD_5,25.0,36,205,122
PCD_5,25.0,37,204,121
PCD_5,25.0,38,206,122
PCD_5,25.0,39,204,120
PCD_5,25.0,40,204,120
PCD_5,25.0,41,205,121
PCD_5,25.0,42,205,121
PCD_5,25.0,43,204,121
PCD_5,25.0,44,207,122
PCD_5,25.0,45,207,122
PCD_5,25.0,46,206,120
PCD_5,25.0,47,206,120
PCD_5,25.0,48,205,121
PCD_5,25.0,49,207,122
PCD_5,25.0,50,207,122
PCD_5,25.0,51,205,120
PCD_5,25.0,52,205,120
PCD_5,25.0,53,205,122
PCD_5,25.0,54,205,122
PCD_5,25.0,55,205,122
PCD_5,25.0,56,203,120
PCD_5,25.0,57,203,120
PCD_5,25.0,58,205,121
PCD_5,25.0,59,207,122
PCD_5,25.0,60,207,122
PCD_5,25.0,61,204,121
PCD_5,25.0,62,204,121
PCD_5,25.0,63,201,122
PCD_5,25.0,64,200,121
PCD_5,25.0,65,200,121
PCD_5,25.0,66,202,123
PCD_5,25.0,67,202,123
PCD_5,25.0,68,203,123
PCD_5,25.0,69,206,121
PCD_5,25.0,70,206,121
PCD_5,25.0,71,204,120
PCD_5,25.0,72,204,120
PCD_5,25.0,73,203,120
PCD_5,25.0,74,205,120
PCD_5,25.0,75,205,120
PCD_5,25.0,76,203,121
PCD_5,25.0,77,203,121
PCD_5,25.0,78,203,121
PCD_5,25.0,79,203,120
PCD_5,25.0,80,203,120
PCD_5,25.0,81,202,121
PCD_5,25.0,82,202,121
PCD_5,25.0,83,203,122
PCD_5,25.0,84,200,121
PCD_5,25.0,85,200,121
PCD_5,25.0,86,200,121
PCD_5,25.0,87,200,121
PCD_5,25.0,88,204,121
PCD_5,25.0,89,201,123
PCD_5,25.0,90,201,123
PCD_5,25.0,91,202,123
PCD_5,25.0,92,202,123
PCD_5,25.0,93,202,123
PCD_5,25.0,94,202,123
PCD_5,25.0,95,202,123
PCD_5,25.0,96,201,123
PCD_5,25.0,97,201,123
PCD_5,25.0,98,200,120
PCD_5,25.0,99,201,122
PCD_5,25.0,100,201,122
PCD_5,25.0,101,200,121
