video,fps,frame,tip_x,tip_y
healthy_14,30.0,0,417,315
healthy_14,30.0,1,417,315
healthy_14,30.0,2,417,315
healthy_14,30.0,3,417,315
healthy_14,30.0,4,417,315
healthy_14,30.0,5,417,315
healthy_14,30.0,6,417,315
healthy_14,30.0,7,417,315
healthy_14,30.0,8,398,318
healthy_14,30.0,9,398,318
healthy_14,30.0,10,205,313
healthy_14,30.0,11,200,306
healthy_14,30.0,12,200,306
healthy_14,30.0,13,205,313
healthy_14,30.0,14,205,313
healthy_14,30.0,15,200,306
healthy_14,30.0,16,200,306
healthy_14,30.0,17,200,306
healthy_14,30.0,18,417,315
healthy_14,30.0,19,417,315
healthy_14,30.0,20,417,315
healthy_14,30.0,21,417,315
healthy_14,30.0,22,417,315
healthy_14,30.0,23,417,315
healthy_14,30.0,24,417,315
healthy_14,30.0,25,417,315
healthy_14,30.0,26,417,315
healthy_14,30.0,27,417,315
healthy_14,30.0,28,417,315
healthy_14,30.0,29,205,313
healthy_14,30.0,30,205,313
healthy_14,30.0,31,205,313
healthy_14,30.0,32,205,313
healthy_14,30.0,33,201,307
healthy_14,30.0,34,201,307
healthy_14,30.0,35,416,315
healthy_14,30.0,36,416,315
healthy_14,30.0,37,416,315
healthy_14,30.0,38,416,315
healthy_14,30.0,39,416,315
healthy_14,30.0,40,417,315
healthy_14,30.0,41,417,315
healthy_14,30.0,42,417,315
healthy_14,30.0,43,416,315
healthy_14,30.0,44,416,315
healthy_14,30.0,45,416,315
healthy_14,30.0,46,201,307
healthy_14,30.0,47,200,306
healthy_14,30.0,48,200,306
healthy_14,30.0,49,200,306
healthy_14,30.0,50,399,318
healthy_14,30.0,51,399,318
healthy_14,30.0,52,399,318
healthy_14,30.0,53,399,318
healthy_14,30.0,54,200,306
healthy_14,30.0,55,200,306
healthy_14,30.0,56,201,307
healthy_14,30.0,57,201,307
healthy_14,30.0,58,397,318
healthy_14,30.0,59,416,315
healthy_14,30.0,60,416,315
healthy_14,30.0,61,417,315
healthy_14,30.0,62,417,315
healthy_14,30.0,63,417,315
healthy_14,30.0,64,205,313
healthy_14,30.0,65,205,313
healthy_14,30.0,66,397,318
healthy_14,30.0,67,205,313
healthy_14,30.0,68,205,313
healthy_14,30.0,69,200,306
healthy_14,30.0,70,200,306
healthy_14,30.0,71,200,306
healthy_14,30.0,72,200,306
healthy_14,30.0,73,200,306
healthy_14,30.0,74,200,306
healthy_14,30.0,75,200,306
healthy_14,30.0,76,200,306
healthy_14,30.0,77,416,314
healthy_14,30.0,78,416,315
healthy_14,30.0,79,416,315
healthy_14,30.0,80,416,315
healthy_14,30.0,81,416,315
healthy_14,30.0,82,416,315
healthy_14,30.0,83,416,315
healthy_14,30.0,84,416,315
healthy_14,30.0,85,200,306
healthy_14,30.0,86,200,306
healthy_14,30.0,87,201,307
healthy_14,30.0,88,200,306
healthy_14,30.0,89,200,306
healthy_14,30.0,90,205,313
healthy_14,30.0,91,205,313
healthy_14,30.0,92,200,306
healthy_14,30.0,93,200,306
healthy_14,30.0,94,200,306
healthy_14,30.0,95,200,306
